Id,SalePrice
2658,114902.04038107887
2718,164432.722805456
2414,219621.2076365644
1989,121174.09128152381
625,173036.69589967973
333,101017.36377808709
1327,108204.25433176728
858,134681.1437883198
95,185233.54524660608
1568,168103.10063762142
2482,158090.92794807316
1364,131912.6410870923
2584,153193.4221164653
818,323177.04818827804
2673,144664.75007784454
2089,141456.09882670568
1297,157856.3713442208
790,112090.31476285608
2616,198900.45099592765
720,183051.96497055725
222,151840.02969888615
557,126131.68409508475
1148,184900.9206541211
2766,175269.9988384593
534,179474.9943383045
1452,116491.81562646064
630,124380.91848959765
2648,123159.51038890764
125,165938.2386958234
1904,66429.90053744958
1670,103175.61998323823
756,102567.67930912388
717,224404.8999511317
1032,156556.71035377297
852,206948.8397243183
1731,186205.11174560114
2639,110364.1318773215
2071,77189.72407561725
1267,118340.15730940815
1851,186487.9832766152
567,155894.4410548349
2439,212735.96933365372
1898,146889.54026531687
647,154849.3891652322
2256,207634.10168703468
979,109845.30878021939
1444,222986.00933173962
2485,118807.78067135498
157,125691.65868034595
88,122228.81096537905
2003,112706.62216702137
186,185343.37782742176
1425,257404.3259027981
2695,130400.39833203421
738,101045.28384415111
395,160028.70258945058
1353,160410.53611885724
1878,134646.46907659408
390,181687.83434000597
1456,240334.2566709067
1103,309466.4603594461
1387,128640.94376614197
2070,140131.39227030048
1199,173599.51396520383
2479,169787.04473689685
501,297172.7283588202
2362,98587.81448700362
1718,192029.71640578017
2188,86345.50970506728
1483,173787.56893226973
2557,99902.47961162278
437,377942.05413693096
2224,189057.62189416948
1628,191361.83583113336
397,124970.82954735533
587,185779.4923642407
971,140384.73844947474
2611,147775.9494888756
1887,100343.51372515815
2399,403352.35406187194
2148,202741.306633874
304,116329.98266574413
1997,121549.18966536493
2817,120994.90449545743
1431,197267.8055734994
427,335744.6706460467
263,122158.55712169132
598,167968.92508650222
2895,217813.97480445434
687,147142.75231286293
1822,132968.43251572273
2191,108735.51386492199
179,119310.23335830221
1009,217547.5055486303
2010,129031.91201865263
1991,126500.94276707331
1411,144502.27221107046
1721,240863.75973496702
1144,179371.1259466766
593,215729.3964128497
575,303702.2852887981
1249,169591.44866437477
1604,124036.81135234506
1064,526345.374744148
1923,160634.1587358849
1988,109754.97041275172
2325,179452.86925348846
114,190436.31175622647
2700,165274.92406631948
217,102458.9927120918
343,170657.07275044767
386,228456.61350746776
2005,117580.01650728809
2908,123977.56973822352
1814,246416.61342437254
2446,527074.606852948
208,137504.22173545184
1679,121318.73994544492
822,362787.5867349742
6,201868.1192046123
1781,427541.3352414411
2397,306045.64886095346
2340,306831.0889292757
1618,165840.71875035012
2843,111487.86031857469
1061,423760.2292143583
2786,130473.21216783406
1935,131525.48315903582
1341,119482.2761286954
521,284115.19062965247
2136,138579.80888737887
996,208882.1686593262
227,154096.50636058394
135,179623.46975284463
1167,152448.77512052303
294,188312.15975100742
1776,184878.9402532996
540,172253.1882968882
1717,193678.38776617515
2303,120278.66125426037
116,181595.97850861377
127,133562.03688806074
1371,141663.08402010423
1014,163712.74430584666
1507,100492.4219733971
702,140524.9291137493
750,146358.37045372237
261,146951.741354164
1559,78234.06481519446
577,195917.1346736876
2812,201770.54771141792
2080,152740.44862300833
1368,116301.78375400789
2376,127672.96338320561
659,110549.36468372303
1235,120119.49005422462
332,97260.0140312586
1917,141326.43208656408
2094,254373.7564779041
1460,243427.2507101054
1471,207445.32417375557
1509,127300.37944462735
1922,128450.4849958898
433,572797.7448894077
460,290129.4993084831
1116,241577.15233806559
1137,163295.91583013284
53,181253.434681483
2354,245825.12240350415
1475,185693.80627858455
1761,746344.8157127334
842,133330.79777751176
2739,172872.9916906021
2509,169373.53316281844
1007,213241.0282653117
2610,182969.34373894605
1952,103544.13561465719
2719,166101.701937124
2921,100849.21170740976
1966,128547.86701355498
292,118053.57439840442
1204,199397.57797037798
1829,259758.1587324227
2419,196726.31604008327
391,155022.67720573285
798,112885.0610057043
481,209208.22253313233
193,177554.79977515372
555,122789.00392089535
899,75321.14699313592
2357,182288.07503547778
328,141428.56063251873
1356,108895.61544209515
1154,107809.25996368314
1730,179903.0455640022
2249,163494.58579853212
1119,265870.92869300017
2856,139219.85539461387
1394,132689.65331154445
2587,119485.98559547674
61,290484.2884136165
2661,177666.87549200116
2711,131902.2727902528
1147,184396.7321737739
757,138742.91680958009
2623,90314.34898595812
2378,157045.92112801343
1413,130997.7374560535
1722,238120.8847095953
1112,213751.3411716367
1623,190910.17369455786
1201,177627.5932417278
1513,115800.08162258881
957,254235.27143914785
1171,301950.3220538439
1145,191501.509720168
2726,201358.75846180215
703,166666.62656095985
760,92625.8453209197
1964,140668.56064221106
2512,178324.43260999638
159,149369.0761084633
1281,163233.35352479634
468,190173.47713142092
290,127816.85398066718
665,99767.46414454108
1463,255604.6220177142
1792,221698.0954430299
923,137794.8491774339
500,250560.18367495708
1408,145194.07780887673
331,91732.41588236635
170,120982.14064131565
2192,99818.62343863813
2571,293955.35790556687
2314,178045.95423610433
2647,91897.65813332553
422,472851.723652901
2457,365411.7442880634
1838,202156.9117099521
2805,254032.98641072828
1645,152334.4495856932
1711,318670.55149463465
2825,241798.36989047457
322,380266.85056396684
2103,263153.8091899142
342,122861.23050721979
